Workload,Method,Input_Acts,Weight_Acts,Output_Acts,Max_Acts,Total_Acts,Improvement_vs_WS(%),Improvement_vs_OS(%)
VGG_Conv1_1,Weight Stationary,1,1,16,16,18,0.00,0.00
VGG_Conv1_1,Output Stationary,1,1,16,16,18,0.00,0.00
VGG_Conv1_1,ILP,1,1,7,7,9,56.25,56.25
VGG_Conv2_1,Weight Stationary,1,980,7,980,988,0.00,96.51
VGG_Conv2_1,Output Stationary,28095,1175,14,28095,29284,-2766.84,0.00
VGG_Conv2_1,ILP,28,35,43,43,106,95.61,99.85
VGG_Conv3_1,Weight Stationary,1,882,4,882,887,0.00,85.94
VGG_Conv3_1,Output Stationary,6272,978,16,6272,7266,-611.11,0.00
VGG_Conv3_1,ILP,16,18,64,64,98,92.74,98.98
VGG_Conv4_1,Weight Stationary,1,1152,2,1152,1155,0.00,55.00
VGG_Conv4_1,Output Stationary,2560,1152,16,2560,3728,-122.22,0.00
VGG_Conv4_1,ILP,512,72,2,512,586,55.56,80.00
VGG_Conv5_1,Weight Stationary,1,576,1,576,578,0.00,0.00
VGG_Conv5_1,Output Stationary,1,576,1,576,578,0.00,0.00
VGG_Conv5_1,ILP,256,144,1,256,401,55.56,55.56
ResNet_L1,Weight Stationary,1,252,1,252,254,0.00,0.00
ResNet_L1,Output Stationary,1,252,1,252,254,0.00,0.00
ResNet_L1,ILP,8,3,1,8,12,96.83,96.83
ResNet_Stride2,Weight Stationary,1,80,1,80,82,0.00,15.79
ResNet_Stride2,Output Stationary,1,95,1,95,97,-18.75,0.00
ResNet_Stride2,ILP,8,5,1,8,14,90.00,91.58
ResNet_1x1_Proj,Weight Stationary,1,1,4,4,6,0.00,0.00
ResNet_1x1_Proj,Output Stationary,1,1,4,4,6,0.00,0.00
ResNet_1x1_Proj,ILP,1,1,4,4,6,0.00,0.00
ResNet_1x1_Red,Weight Stationary,1,1,1,1,3,0.00,0.00
ResNet_1x1_Red,Output Stationary,1,1,1,1,3,0.00,0.00
ResNet_1x1_Red,ILP,4,1,1,4,6,-300.00,-300.00
YOLO_Tiny,Weight Stationary,1,288,1,288,290,0.00,0.00
YOLO_Tiny,Output Stationary,1,288,1,288,290,0.00,0.00
YOLO_Tiny,ILP,4,72,1,72,77,75.00,75.00
