Workload,SolutionID,Tensor,ILP_Value,Trace_Value
VGG_Conv3_1,0,input,16.000000000000007,16
VGG_Conv3_1,0,weight,17.99999999995424,18
VGG_Conv3_1,0,output,48.99999996926612,64
VGG_Conv3_1,0,max,48.99999996926612,64
VGG_Conv3_1,1,input,16.0,16
VGG_Conv3_1,1,weight,17.99999999995424,18
VGG_Conv3_1,1,output,48.99999999999838,64
VGG_Conv3_1,1,max,48.99999999999838,64
VGG_Conv3_1,2,input,16.0,16
VGG_Conv3_1,2,weight,127.99999999999999,128
VGG_Conv3_1,2,output,48.9999999999998,64
VGG_Conv3_1,2,max,127.99999999999999,128
VGG_Conv3_1,3,input,15.99999999999977,16
VGG_Conv3_1,3,weight,17.999999999999996,18
VGG_Conv3_1,3,output,48.99999999985036,64
VGG_Conv3_1,3,max,48.99999999985036,64
VGG_Conv3_1,4,input,64.00000000000715,64
VGG_Conv3_1,4,weight,17.999999999999996,18
VGG_Conv3_1,4,output,4.0,4
VGG_Conv3_1,4,max,64.00000000000715,64
VGG_Conv3_1,5,input,64.00000000000091,64
VGG_Conv3_1,5,weight,17.99999999995424,18
VGG_Conv3_1,5,output,49.000000000014616,94
VGG_Conv3_1,5,max,64.00000000000091,94
VGG_Conv3_1,6,input,15.999999999999716,16
VGG_Conv3_1,6,weight,64.0,64
VGG_Conv3_1,6,output,48.99999996926612,64
VGG_Conv3_1,6,max,64.0,64
VGG_Conv3_1,7,input,16.0,16
VGG_Conv3_1,7,weight,63.999999999999545,64
VGG_Conv3_1,7,output,48.99999996926612,64
VGG_Conv3_1,7,max,63.999999999999545,64
VGG_Conv3_1,8,input,127.99999999999999,128
VGG_Conv3_1,8,weight,127.99999999999999,128
VGG_Conv3_1,8,output,48.99999999999926,94
VGG_Conv3_1,8,max,127.99999999999999,128
VGG_Conv3_1,9,input,63.99999999999945,64
VGG_Conv3_1,9,weight,64.0,64
VGG_Conv3_1,9,output,48.99999999998586,94
VGG_Conv3_1,9,max,64.0,94
VGG_Conv3_1,10,input,64.00000000000685,64
VGG_Conv3_1,10,weight,63.999999999999126,64
VGG_Conv3_1,10,output,4.000000000000001,4
VGG_Conv3_1,10,max,64.00000000000685,64
VGG_Conv3_1,11,input,63.999999999888175,64
VGG_Conv3_1,11,weight,63.99999999981626,64
VGG_Conv3_1,11,output,48.999999995791306,94
