Workload,Tensor,Spearman_R,P_Value,Num_Solutions,ILP_Range,Trace_Range
VGG_Conv3_1,input,0.7810,4.8177e-05,20,15.999999999999716-127.99999999999999,16-128
VGG_Conv3_1,weight,0.9461,2.9966e-10,20,17.99999999995424-127.99999999999999,18-128
VGG_Conv3_1,output,0.7605,9.9372e-05,20,3.999999999999659-49.000000000014616,4-94
VGG_Conv3_1,max,0.5083,2.2104e-02,20,32.00000000000383-127.99999999999999,32-128
VGG_Conv4_1,input,0.7786,5.2656e-05,20,15.999999999996136-64.00000000001192,16-512
VGG_Conv4_1,weight,1.0000,0.0000e+00,20,71.99999998258178-72.00000000008632,72-72
VGG_Conv4_1,output,0.7864,3.9283e-05,20,8.0-63.999999999977256,8-64
VGG_Conv4_1,max,0.0000,1.0000e+00,20,71.99999998258178-72.00000000008632,72-512
VGG_Conv5_1,input,1.0000,0.0000e+00,20,15.999999999998865-16.000000000000128,16-16
VGG_Conv5_1,weight,1.0000,0.0000e+00,20,143.999999999779-144.0,144-144
VGG_Conv5_1,output,1.0000,0.0000e+00,20,1.0-1.0,1-1
VGG_Conv5_1,max,1.0000,0.0000e+00,20,143.999999999779-144.0,144-144
ResNet_L1,input,1.0000,0.0000e+00,20,7.999999999998133-8.00000000000076,8-8
ResNet_L1,weight,0.6525,1.8202e-03,20,2.2500000000117835-7.999997613083455,3-8
ResNet_L1,output,1.0000,0.0000e+00,20,0.9999999999997071-1.0000000000017566,1-1
ResNet_L1,max,1.0000,0.0000e+00,20,7.999999999998133-8.00000000000076,8-8
ResNet_Stride2,input,1.0000,0.0000e+00,20,7.9999999999994875-8.0,8-8
ResNet_Stride2,weight,1.0000,0.0000e+00,20,4.499999999160081-4.499999999160832,5-5
ResNet_Stride2,output,1.0000,0.0000e+00,20,0.9999999999999981-1.0000000000033038,1-1
ResNet_Stride2,max,1.0000,0.0000e+00,20,7.9999999999994875-8.0,8-8
ResNet_1x1_Proj,input,1.0000,0.0000e+00,20,0.9999999517414148-1.0000000000000007,1-1
ResNet_1x1_Proj,weight,1.0000,0.0000e+00,20,3.9999999999983333-4.000000000000421,4-4
ResNet_1x1_Proj,output,1.0000,0.0000e+00,20,3.062499951735743-3.0624999999960014,4-4
ResNet_1x1_Proj,max,1.0000,0.0000e+00,20,3.9999999999983333-4.000000000000421,4-4
ResNet_1x1_Red,input,1.0000,0.0000e+00,20,4.000000000000001-4.000000000000001,4-4
ResNet_1x1_Red,weight,1.0000,0.0000e+00,20,4.000000000000001-4.000000000000001,4-4
ResNet_1x1_Red,output,1.0000,0.0000e+00,20,0.9999999999999984-0.9999999999999984,1-1
ResNet_1x1_Red,max,1.0000,0.0000e+00,20,4.000000000000001-4.000000000000001,4-4
YOLO_Tiny,input,0.8994,6.9249e-08,20,15.999999999999424-64.00000034204025,16-64
YOLO_Tiny,weight,1.0000,0.0000e+00,20,71.99999999989429-72.0,72-72
YOLO_Tiny,output,1.0000,0.0000e+00,20,1.0-1.0,1-1
YOLO_Tiny,max,1.0000,0.0000e+00,20,71.99999999989429-72.0,72-72
