name,macs,N,K,C,P,Q,R,S,row_acts_input,row_acts_weight,row_acts_output,row_acts_total,solve_time,objective,desc
ResNet-Conv1,118013952,1,64,3,112,112,7,7,37632.0,10.0,784.0,38426.0,0.7686243057250977,153.18627450980227,"First conv, large kernel"
ResNet-Conv2,115605504,1,64,64,56,56,3,3,25088.0,36.0,3136.0,28260.0,0.49060988426208496,153.1862745085964,Middle layers
ResNet-Conv3,57802752,1,128,64,28,28,3,3,21504.0,72.0,98.0,21674.0,0.5994820594787598,153.18627450847998,Downsampling
ResNet-Conv4,57802752,1,256,128,14,14,3,3,10752.0,288.0,49.0,11089.0,0.741426944732666,154.55400910365202,High channels
ResNet-Conv5,57802752,1,512,256,7,7,3,3,12544.0,1152.0,25.0,13721.0,0.6374030113220215,153.18627451017056,Final stage
VGG-Conv1,86704128,1,64,3,224,224,3,3,18816.0,12546.0,6272.0,37634.0,2.2299678325653076,153.18626916567015,Large spatial
VGG-Conv2,924844032,1,128,64,112,112,3,3,75264.0,72.0,1568.0,76904.0,1.3359661102294922,153.1862745098037,Middle stage
VGG-Conv3,924844032,1,256,128,56,56,3,3,401408.0,288.0,784.0,402480.0,1.1439721584320068,153.18627450967108,Deeper layers
MobileNet-PW1,6422528,1,64,32,56,56,1,1,1568.0,2.0,728.0,2298.0,0.7326052188873291,153.27175792196692,1x1 conv
MobileNet-PW2,6422528,1,128,64,28,28,1,1,784.0,8.0,98.0,890.0,0.9080500602722168,153.18627450980384,1x1 conv
MobileNet-PW3,6422528,1,256,128,14,14,1,1,448.0,32.0,49.0,529.0,0.45024895668029785,153.18627450980375,1x1 conv
