Workload,MACs,ILP_Input,ILP_Weight,ILP_Output,ILP_Total,Trace_Input,Trace_Weight,Trace_Output,Trace_Total,Error%
ResNet18-Conv1,118013952,37632.0,10.0,784.0,38426.0,10805,0,0,30871,24.47
ResNet18-Conv2,115605504,25088.0,36.0,3136.0,28260.0,5880,0,0,20188,39.98
ResNet18-Conv3,57802752,21504.0,72.0,98.0,21674.0,4704,0,0,21168,2.39
ResNet18-Conv4,57802752,10752.0,288.0,49.0,11089.0,1176,0,0,24696,55.10
ResNet18-Conv5,57802752,12544.0,1152.0,25.0,13721.0,7056,0,0,17472,21.47
VGG16-Conv1,86704128,18816.0,12546.0,6272.0,37634.0,1323,0,0,21315,76.56
VGG16-Conv2,924844032,75264.0,72.0,1568.0,76904.0,16384,7136,0,174048,55.81
VGG16-Conv3,924844032,401408.0,288.0,784.0,402480.0,16384,16384,14272,203840,97.45
VGG16-Conv4,924844032,60160.0,57344.0,392.0,117896.0,16384,16384,16384,244608,51.80
VGG16-Conv5,462422016,56448.0,2304.0,98.0,58850.0,882,0,0,226674,74.04
MobileNet-PW1,25690112,6272.0,2.0,6272.0,12546.0,3136,0,0,7056,77.81
MobileNet-PW2,25690112,3136.0,8.0,784.0,3928.0,1568,0,0,7840,49.90
MobileNet-PW3,25690112,3584.0,32.0,196.0,3812.0,3136,0,0,7168,46.82
MobileNet-PW4,25690112,448.0,128.0,98.0,674.0,3136,0,0,8064,91.64
Batch-N1,57802752,21504.0,72.0,98.0,21674.0,4704,0,0,21168,2.39
Batch-N2,115605504,50176.0,72.0,196.0,50444.0,3528,0,0,18228,176.74
Batch-N4,231211008,896.0,57344.0,57344.0,115584.0,16384,16384,16384,90944,27.09
Batch-N8,462422016,100352.0,72.0,784.0,101208.0,16384,11840,0,81536,24.13
