P_Tile,Q_Tile,ILP_Cost,GT_Cost
4,4,392.0,112
4,6,280.0,120
4,8,280.0,112
4,10,252.0,114
4,12,292.0,132
4,14,168.0,104
4,16,224.0,112
4,18,224.0,132
4,20,280.0,144
4,22,280.0,160
4,24,308.0,168
4,26,336.0,188
4,28,180.0,100
6,4,280.0,126
6,6,200.0,130
6,8,240.0,128
6,10,180.0,125
6,12,240.0,144
6,14,160.0,112
6,16,200.0,120
6,18,200.0,141
6,20,240.0,156
6,22,240.0,169
6,24,280.0,184
6,26,280.0,204
6,28,160.0,108
8,4,280.0,112
8,6,240.0,130
8,8,256.0,128
8,10,192.0,126
8,12,240.0,144
8,14,160.0,116
8,16,208.0,128
8,18,224.0,148
8,20,240.0,160
8,22,256.0,180
8,24,288.0,192
8,26,288.0,212
8,28,160.0,112
10,4,252.0,126
10,6,180.0,133
10,8,192.0,128
10,10,180.0,120
10,12,216.0,144
10,14,144.0,112
10,16,168.0,120
10,18,192.0,143
10,20,216.0,156
10,22,216.0,175
10,24,240.0,184
10,26,264.0,200
10,28,144.0,108
12,4,292.0,140
12,6,240.0,150
12,8,240.0,144
12,10,216.0,144
12,12,252.0,168
12,14,168.0,132
12,16,204.0,144
12,18,216.0,168
12,20,252.0,184
12,22,264.0,204
12,24,288.0,216
12,26,312.0,240
12,28,168.0,128
14,4,168.0,119
14,6,160.0,124
14,8,160.0,120
14,10,144.0,116
14,12,168.0,135
14,14,128.0,104
14,16,144.0,112
14,18,160.0,135
14,20,176.0,146
14,22,192.0,162
14,24,208.0,172
14,26,224.0,189
14,28,120.0,101
16,4,224.0,112
16,6,200.0,120
16,8,208.0,128
16,10,168.0,120
16,12,204.0,144
16,14,144.0,112
16,16,176.0,128
16,18,192.0,144
16,20,208.0,160
16,22,224.0,176
16,24,248.0,192
16,26,256.0,208
16,28,140.0,112
18,4,224.0,147
18,6,200.0,153
18,8,224.0,152
18,10,192.0,147
18,12,216.0,171
18,14,160.0,135
18,16,192.0,144
18,18,208.0,168
18,20,224.0,186
18,22,240.0,203
18,24,272.0,220
18,26,288.0,240
18,28,152.0,129
20,4,280.0,154
20,6,240.0,165
20,8,240.0,160
20,10,216.0,159
20,12,252.0,186
20,14,176.0,146
20,16,208.0,160
20,18,224.0,186
20,20,256.0,204
20,22,272.0,226
20,24,296.0,240
20,26,320.0,264
20,28,172.0,142
22,4,280.0,175
22,6,240.0,181
22,8,256.0,184
22,10,216.0,178
22,12,264.0,207
22,14,192.0,160
22,16,224.0,176
22,18,240.0,202
22,20,272.0,224
22,22,288.0,247
22,24,320.0,268
22,26,336.0,293
22,28,184.0,156
24,4,308.0,168
24,6,280.0,190
24,8,288.0,192
24,10,240.0,186
24,12,288.0,216
24,14,208.0,172
24,16,248.0,192
24,18,272.0,220
24,20,296.0,240
24,22,320.0,268
24,24,352.0,288
24,26,368.0,316
24,28,200.0,168
26,4,336.0,203
26,6,280.0,213
26,8,288.0,216
26,10,264.0,204
26,12,312.0,240
26,14,224.0,186
26,16,256.0,208
26,18,288.0,239
26,20,320.0,264
26,22,336.0,292
26,24,368.0,312
26,26,400.0,339
26,28,216.0,183
28,4,180.0,100
28,6,160.0,108
28,8,160.0,112
28,10,144.0,108
28,12,168.0,128
28,14,120.0,101
28,16,140.0,112
28,18,152.0,129
28,20,172.0,142
28,22,184.0,157
28,24,200.0,168
28,26,216.0,185
28,28,116.0,98
